seed	dt_1_test	rf_1_test	dt_1_train	rf_1_train	dt_2_test	rf_2_test	dt_2_train	rf_2_train	dt_3_test	rf_3_test	dt_3_train	rf_3_train	dt_4_test	rf_4_test	dt_4_train	rf_4_train	dt_5_test	rf_5_test	dt_5_train	rf_5_train	dt_6_test	rf_6_test	dt_6_train	rf_6_train	dt_None_test	rf_None_test	dt_None_train	rf_None_train
62	0.2	0.345	0.2375	0.3575	0.35	0.455	0.37	0.53125	0.4	0.48	0.49125	0.58375	0.435	0.565	0.585	0.72	0.6	0.715	0.69125	0.8425	0.665	0.76	0.77	0.87875	0.725	0.79	0.90125	0.9975
63	0.355	0.335	0.42375	0.4125	0.44	0.59	0.5125	0.66875	0.57	0.7	0.61875	0.73875	0.66	0.725	0.695	0.77625	0.745	0.725	0.76375	0.80125	0.775	0.75	0.8125	0.87375	0.81	0.78	0.97375	1.0
64	0.305	0.305	0.265	0.3375	0.36	0.48	0.3825	0.53125	0.505	0.53	0.465	0.61375	0.58	0.65	0.575	0.73875	0.67	0.67	0.69	0.795	0.66	0.725	0.775	0.87875	0.7	0.74	0.98	1.0
65	0.315	0.445	0.295	0.44125	0.41	0.47	0.42	0.49	0.37	0.555	0.36125	0.61125	0.43	0.68	0.45	0.7575	0.5	0.785	0.5425	0.8575	0.525	0.81	0.58875	0.92375	0.5	0.755	0.6975	0.99625
66	0.215	0.435	0.2925	0.43875	0.405	0.495	0.40125	0.5475	0.49	0.56	0.5	0.62875	0.49	0.66	0.535	0.7575	0.625	0.695	0.64625	0.845	0.65	0.735	0.75	0.8925	0.73	0.77	0.9675	0.995
67	0.225	0.325	0.33375	0.39375	0.32	0.47	0.425	0.61875	0.435	0.59	0.53375	0.695	0.575	0.7	0.63375	0.79625	0.68	0.73	0.76375	0.84625	0.71	0.755	0.80875	0.885	0.735	0.755	0.955	0.98
68	0.265	0.295	0.34875	0.37875	0.35	0.46	0.4575	0.59	0.455	0.61	0.565	0.695	0.575	0.725	0.67	0.78875	0.605	0.765	0.7325	0.8325	0.68	0.78	0.805	0.8775	0.775	0.82	1.0	0.995
69	0.28	0.4	0.27	0.3825	0.37	0.44	0.3725	0.46	0.42	0.535	0.47875	0.58125	0.505	0.64	0.57625	0.72125	0.58	0.705	0.6875	0.81125	0.59	0.72	0.76	0.885	0.695	0.73	0.98125	0.9975
70	0.3	0.345	0.28125	0.40625	0.38	0.415	0.39875	0.53125	0.465	0.59	0.5	0.655	0.57	0.655	0.68625	0.73	0.67	0.7	0.79	0.80875	0.7	0.74	0.8625	0.87375	0.77	0.75	0.9925	0.9975
71	0.28	0.34	0.3425	0.44375	0.35	0.455	0.45375	0.54375	0.445	0.58	0.5375	0.66375	0.545	0.575	0.6625	0.70125	0.645	0.65	0.74625	0.80125	0.695	0.665	0.81875	0.8575	0.73	0.7	0.99875	0.99625
72	0.34	0.34	0.3275	0.3275	0.455	0.53	0.41125	0.48375	0.545	0.725	0.51875	0.715	0.605	0.75	0.6325	0.78	0.705	0.79	0.7425	0.85	0.755	0.79	0.83	0.89125	0.825	0.805	0.99375	0.9775
73	0.3	0.415	0.31125	0.38875	0.37	0.555	0.38875	0.56	0.49	0.65	0.47625	0.6725	0.53	0.725	0.5575	0.76875	0.555	0.765	0.61	0.8275	0.635	0.785	0.70875	0.87625	0.805	0.805	0.99875	0.99375
74	0.285	0.315	0.2925	0.3425	0.39	0.39	0.40625	0.45625	0.44	0.495	0.45125	0.5775	0.47	0.595	0.50375	0.68875	0.575	0.675	0.62375	0.77375	0.625	0.71	0.695	0.83375	0.755	0.725	0.9975	0.99875
75	0.285	0.36	0.315	0.36	0.4	0.515	0.41625	0.555	0.46	0.585	0.5025	0.69125	0.555	0.69	0.6475	0.795	0.605	0.745	0.74875	0.86375	0.56	0.81	0.75375	0.915	0.7	0.845	0.90875	1.0
76	0.275	0.375	0.27875	0.37625	0.315	0.47	0.3275	0.495	0.42	0.59	0.45	0.6175	0.44	0.695	0.495	0.7075	0.56	0.73	0.60875	0.765	0.645	0.745	0.68875	0.805	0.72	0.76	0.98125	0.95375
77	0.315	0.355	0.31875	0.3375	0.405	0.555	0.40125	0.54625	0.45	0.65	0.50625	0.70125	0.575	0.705	0.65625	0.77875	0.625	0.765	0.74625	0.84125	0.69	0.77	0.825	0.885	0.735	0.805	0.99625	0.995
78	0.205	0.2	0.31375	0.305	0.305	0.455	0.38875	0.545	0.56	0.625	0.5275	0.69625	0.62	0.73	0.68	0.835	0.71	0.77	0.78	0.9025	0.76	0.8	0.86	0.93875	0.745	0.77	1.0	0.9975
