curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-0.25	42	0.2029688	0.009960174560546875	0.20269533	0.11490607261657715	0.5739503892165068	0.13412237167358398	0.5739503892165068	0.13750386238098145	0.5739503892165068	0.41693758964538574	0.5739503892165068	0.4279773235321045
-0.25	43	0.19944417	0.009989738464355469	0.1953734	0.1192331314086914	0.5064133810762806	0.13614344596862793	0.5064133810762806	0.1376028060913086	0.5064133810762806	0.41225433349609375	0.5064133810762806	0.42855310440063477
-0.25	44	0.20680408	0.010346651077270508	0.2039791	0.11306428909301758	0.6039166661631123	0.13287949562072754	0.6039166661631123	0.13860487937927246	0.6039166661631123	0.4227313995361328	0.6039166661631123	0.4351317882537842
-0.25	45	0.18709478	0.01009368896484375	0.18278041	0.11899614334106445	0.5150473614720285	0.1335587501525879	0.5150473614720285	0.14668941497802734	0.5150473614720285	0.42476439476013184	0.5150473614720285	0.43611669540405273
-0.25	46	0.18123582	0.010698318481445312	0.17258519	0.12239360809326172	0.5922405788419917	0.1411573886871338	0.5922405788419917	0.1467738151550293	0.5922405788419917	0.42404961585998535	0.5922405788419917	0.4294755458831787
-0.25	47	0.21065009	0.010487556457519531	0.20553207	0.11715006828308105	0.4397730236571413	0.14034032821655273	0.4397730236571413	0.14595770835876465	0.4397730236571413	0.4205501079559326	0.4397730236571413	0.4274625778198242
-0.25	48	0.19991997	0.009891271591186523	0.19783054	0.1154928207397461	0.5276970880160923	0.1411113739013672	0.5276970880160923	0.14605927467346191	0.5276970880160923	0.41901516914367676	0.5276970880160923	0.4249703884124756
-0.25	49	0.19628745	0.010221242904663086	0.18673335	0.11595654487609863	0.48722315466495486	0.13237977027893066	0.48722315466495486	0.13838815689086914	0.48722315466495486	0.4109535217285156	0.48722315466495486	0.4224872589111328
0.0	50	0.20343423	0.009358882904052734	0.19633763	0.10562753677368164	0.5103875843958633	0.1322317123413086	0.5103875843958633	0.13750076293945312	0.5103875843958633	0.411207914352417	0.5103875843958633	0.424558162689209
0.0	51	0.2023244	0.009367704391479492	0.18813263	0.11027932167053223	0.5149578858156538	0.1337740421295166	0.5149578858156538	0.1384716033935547	0.5149578858156538	0.41864538192749023	0.5149578858156538	0.4269139766693115
0.0	52	0.21615446	0.009412050247192383	0.20307434	0.10625863075256348	0.4793217484101108	0.1333160400390625	0.4793217484101108	0.14075493812561035	0.4793217484101108	0.42113304138183594	0.4793217484101108	0.42464423179626465
0.0	53	0.21620649	0.009588003158569336	0.21007141	0.10696864128112793	0.5239805346446789	0.13526344299316406	0.5239805346446789	0.14035820960998535	0.5239805346446789	0.41790032386779785	0.5239805346446789	0.42569422721862793
0.0	54	0.18786494	0.009580373764038086	0.17333016	0.10614466667175293	0.6004830023020932	0.13096022605895996	0.6004830023020932	0.1375129222869873	0.6004830023020932	0.4095726013183594	0.6004830023020932	0.4233677387237549
