embedding	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_adj_f1-micro	tangent_gnn_adj_accuracy	tangent_gnn_adj_time	ambient_gnn_adj_f1-micro	ambient_gnn_adj_accuracy	ambient_gnn_adj_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_adj_rmse	ambient_gnn_adj_rmse	tangent_gnn_rmse	ambient_gnn_rmse
polblogs	1	0.9469387755102041	0.9469387755102041	0.0980994701385498	0.9387755102040817	0.9387755102040817	1.1909868717193604	0.9428571428571428	0.9428571428571428	0.12470436096191406	0.963265306122449	0.963265306122449	0.13230204582214355	0.9346938775510204	0.9346938775510204	0.40140199661254883	0.9673469387755103	0.9673469387755103	0.41034650802612305	0.49795918367346936	0.49795918367346936	0.5033659934997559	0.5020408163265306	0.5020408163265306	0.5050549507141113								
polblogs	2	0.9306122448979591	0.9306122448979591	0.09250354766845703	0.9142857142857143	0.9142857142857143	1.3176701068878174	0.8408163265306122	0.8408163265306122	0.12622427940368652	0.9306122448979591	0.9306122448979591	0.13549351692199707	0.8938775510204081	0.8938775510204081	0.40492939949035645	0.9510204081632653	0.9510204081632653	0.41088199615478516	0.5061224489795918	0.5061224489795918	0.49781012535095215	0.5061224489795918	0.5061224489795918	0.49773478507995605								
polblogs	3	0.9102040816326531	0.9102040816326531	0.09058260917663574	0.9224489795918367	0.9224489795918367	1.0817089080810547	0.5061224489795918	0.5061224489795918	0.12614750862121582	0.9591836734693877	0.9591836734693877	0.13229703903198242	0.7224489795918367	0.7224489795918367	0.4001929759979248	0.5061224489795918	0.5061224489795918	0.40750718116760254	0.49387755102040815	0.49387755102040815	0.49355006217956543	0.49387755102040815	0.49387755102040815	0.4938642978668213								
polblogs	4	0.926530612244898	0.926530612244898	0.09862589836120605	0.9510204081632653	0.9510204081632653	1.005272388458252	0.9510204081632653	0.9510204081632653	0.12655138969421387	0.9510204081632653	0.9510204081632653	0.13104748725891113	0.9387755102040817	0.9387755102040817	0.39686012268066406	0.9469387755102041	0.9469387755102041	0.405043363571167	0.5183673469387755	0.5183673469387755	0.48454761505126953	0.5183673469387755	0.5183673469387755	0.4861311912536621								
polblogs	5	0.6040816326530613	0.6040816326530613	0.09850120544433594	0.9224489795918367	0.9224489795918367	1.4901676177978516	0.8979591836734694	0.8979591836734694	0.1253972053527832	0.9428571428571428	0.9428571428571428	0.13306140899658203	0.689795918367347	0.689795918367347	0.4015843868255615	0.926530612244898	0.926530612244898	0.41100120544433594	0.5020408163265306	0.5020408163265306	0.49814462661743164	0.49795918367346936	0.49795918367346936	0.49834609031677246								
polblogs	6	0.926530612244898	0.926530612244898	0.09885287284851074	0.9346938775510204	0.9346938775510204	0.9995675086975098	0.9142857142857143	0.9142857142857143	0.12622976303100586	0.9224489795918367	0.9224489795918367	0.1304645538330078	0.9387755102040817	0.9387755102040817	0.4091157913208008	0.5551020408163265	0.5551020408163265	0.42569780349731445	0.4448979591836735	0.4448979591836735	0.4961698055267334	0.4448979591836735	0.4448979591836735	0.5026297569274902								
polblogs	7	0.926530612244898	0.926530612244898	0.10102558135986328	0.9387755102040817	0.9387755102040817	1.0441644191741943	0.9469387755102041	0.9469387755102041	0.1241459846496582	0.9469387755102041	0.9469387755102041	0.1307682991027832	0.9142857142857143	0.9142857142857143	0.39673686027526855	0.5020408163265306	0.5020408163265306	0.40829992294311523	0.49795918367346936	0.49795918367346936	0.4900515079498291	0.49795918367346936	0.49795918367346936	0.4926581382751465								
polblogs	8	0.9306122448979591	0.9306122448979591	0.09616255760192871	0.9306122448979591	0.9306122448979591	1.1105735301971436	0.8326530612244898	0.8326530612244898	0.12561249732971191	0.9142857142857143	0.9142857142857143	0.12814807891845703	0.889795918367347	0.889795918367347	0.3996703624725342	0.9183673469387755	0.9183673469387755	0.40900516510009766	0.47346938775510206	0.47346938775510206	0.4802682399749756	0.5265306122448979	0.5265306122448979	0.4914376735687256								
polblogs	9	0.889795918367347	0.889795918367347	0.10093116760253906	0.9306122448979591	0.9306122448979591	1.0136964321136475	0.8122448979591836	0.8122448979591836	0.12387514114379883	0.9346938775510204	0.9346938775510204	0.12877845764160156	0.9102040816326531	0.9102040816326531	0.4008510112762451	0.9510204081632653	0.9510204081632653	0.4060170650482178	0.5306122448979592	0.5306122448979592	0.4840712547302246	0.46938775510204084	0.46938775510204084	0.4871394634246826								
cs_phds	0			0.9527111053466797			8.266761064529419			0.13337421417236328			0.1392521858215332			0.39145517349243164			0.4012119770050049			0.4206209182739258			0.4233376979827881	25.78749933497274	12.740531538004669	1978.7189524242515	1978.7189524242515	1978.7189524242515	1978.7189524242515	1978.7189524242515	1978.7189524242515
cs_phds	1			0.9334423542022705			8.028273344039917			0.13154339790344238			0.13650059700012207			0.39103126525878906			0.4020824432373047			0.42055654525756836			0.4244518280029297	19.31661738806961	14.49838083025308	1979.0306126620828	1979.0306126620828	1979.0306126620828	1979.0306126620828	1979.0306126620828	1979.0306126620828
cs_phds	2			0.9189090728759766			7.877719879150391			0.13280916213989258			0.13761138916015625			0.3940157890319824			0.3980884552001953			0.41840076446533203			0.4230015277862549	16.34446277534487	14.019529271230484	1977.9529415596292	1977.9529415596292	1977.9529415596292	1977.9529415596292	1977.9529415596292	1977.9529415596292
cs_phds	3			0.9359655380249023			8.146151065826416			0.13440966606140137			0.13849925994873047			0.4071044921875			0.4024648666381836			0.41999268531799316			0.42575645446777344	16.544397032552492	9.810700421836232	1979.8379522256791	1979.8379522256791	1979.8379522256791	1979.8379522256791	1979.8379522256791	1979.8379522256791
cs_phds	4			0.9570086002349854			8.269036054611206			0.13271284103393555			0.136199951171875			0.39488959312438965			0.4000847339630127			0.4155154228210449			0.42681145668029785	15.35450994365356	11.08773342947406	1980.6011344181686	1980.6011344181686	1980.6011344181686	1980.6011344181686	1980.6011344181686	1980.6011344181686
cs_phds	5			0.9134840965270996			7.916816234588623			0.1332414150238037			0.13603758811950684			0.3923027515411377			0.40279459953308105			0.41955137252807617			0.42386341094970703	14.941348748992656	12.801171986092069	1979.3720795414622	1979.3720795414622	1979.3720795414622	1979.3720795414622	1979.3720795414622	1979.3720795414622
cs_phds	6			0.960167646408081			7.904906272888184			0.13562965393066406			0.13679766654968262			0.39568138122558594			0.4017031192779541			0.4230163097381592			0.4266538619995117	18.622697926154	14.577890634780692	1976.9622471937264	1976.9622471937264	1976.9622471937264	1976.9622471937264	1976.9622471937264	1976.9622471937264
cs_phds	7			0.9901833534240723			8.04757285118103			0.1348710060119629			0.1387033462524414			0.3893320560455322			0.39986371994018555			0.4216725826263428			0.4298229217529297	15.870819979738547	12.540902824891054	1978.0275923499048	1978.0275923499048	1978.0275923499048	1978.0275923499048	1978.0275923499048	1978.0275923499048
cs_phds	8			0.9418003559112549			8.08083462715149			0.1309373378753662			0.13642525672912598			0.39551854133605957			0.40462613105773926			0.4371511936187744			0.427854061126709	19.335421810381224	15.310206188075325	1976.7918651311727	1976.7918651311727	1976.7918651311727	1976.7918651311727	1976.7918651311727	1976.7918651311727
cs_phds	9			0.924652099609375			8.276199340820312			0.13245773315429688			0.13854455947875977			0.39600372314453125			0.4059162139892578			0.4182872772216797			0.420208215713501	16.435387163663417	14.22890935733557	1978.6732374214305	1978.6732374214305	1978.6732374214305	1978.6732374214305	1978.6732374214305	1978.6732374214305
