curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
0.0	54	0.295	0.295	0.010823488235473633	0.295	0.295	0.11539483070373535	0.24	0.24	0.12862062454223633	0.16	0.16	0.1363379955291748	0.26	0.26	0.4600644111633301	0.26	0.26	0.4838752746582031
0.0	55	0.285	0.285	0.010185956954956055	0.32	0.32	0.1107172966003418	0.275	0.275	0.13614130020141602	0.255	0.255	0.13371062278747559	0.255	0.255	0.4755375385284424	0.255	0.255	0.48561787605285645
0.0	56	0.31	0.31	0.010601520538330078	0.315	0.315	0.11554765701293945	0.295	0.295	0.13967013359069824	0.295	0.295	0.13208508491516113	0.245	0.245	0.46808290481567383	0.245	0.245	0.4820384979248047
0.0	57	0.305	0.305	0.010720014572143555	0.305	0.305	0.11254715919494629	0.18	0.18	0.12601375579833984	0.225	0.225	0.13241839408874512	0.22	0.22	0.46903538703918457	0.22	0.22	0.49958181381225586
0.0	58	0.315	0.315	0.009924650192260742	0.325	0.325	0.10833263397216797	0.145	0.145	0.13141536712646484	0.31	0.31	0.13109397888183594	0.25	0.25	0.45679330825805664	0.25	0.25	0.4776163101196289
0.0	59	0.395	0.395	0.009604692459106445	0.42	0.42	0.10805797576904297	0.32	0.32	0.12639999389648438	0.37	0.37	0.13164710998535156	0.26	0.26	0.4635148048400879	0.26	0.26	0.4964761734008789
0.25	60	0.235	0.235	0.010284900665283203	0.295	0.295	0.11562323570251465	0.24	0.24	0.15752720832824707	0.3	0.3	0.1486217975616455	0.27	0.27	0.49568700790405273	0.27	0.27	0.4836239814758301
0.25	61	0.305	0.305	0.009866476058959961	0.305	0.305	0.10630917549133301	0.3	0.3	0.12726235389709473	0.31	0.31	0.132049560546875	0.32	0.32	0.4643387794494629	0.3	0.3	0.48108506202697754
0.25	62	0.35	0.35	0.009608745574951172	0.385	0.385	0.1074361801147461	0.33	0.33	0.13303899765014648	0.345	0.345	0.13838529586791992	0.315	0.315	0.4633753299713135	0.31	0.31	0.47875452041625977
0.25	63	0.185	0.185	0.009591341018676758	0.19	0.19	0.1069023609161377	0.165	0.165	0.1261749267578125	0.195	0.195	0.13442087173461914	0.195	0.195	0.4087533950805664	0.21	0.21	0.41988229751586914
0.25	64	0.3	0.3	0.009130001068115234	0.35	0.35	0.10326242446899414	0.29	0.29	0.13123750686645508	0.33	0.33	0.13788127899169922	0.32	0.32	0.4390747547149658	0.235	0.235	0.4666752815246582
0.25	65	0.235	0.235	0.010296821594238281	0.245	0.245	0.12358212471008301	0.19	0.19	0.12488722801208496	0.21	0.21	0.1309986114501953	0.205	0.205	0.40810108184814453	0.185	0.185	0.4166147708892822
